Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
received,Resale,Unfurnished,2.0,0.62,Ramdev Park,"Jan 29, '21",North - East,main road,764.0,1,apartment,10,11,1,Open,78.40604619375797,17.48551535
received,Resale,Unfurnished,2.0,1.25,Akurli Nagar,"Jan 30, '21",East,other,240.0,2,apartment,7,22,1,Covered,,
received,Resale,Unfurnished,1.0,0.42,Palava city,"Jan 19, '21",East,other,448.0,1,apartment,10,14,1,Open,,
received,New Property,Unfurnished,2.0,2.5,Datta Pada,"Jan 24, '21",East,other,636.0,3,apartment,12,21,2,Covered,,
received,Resale,Furnished,3.0,3.3,Chiku Wadi,"Jan 31, '21",East,other,680.0,3,apartment,10,24,1,Covered,,
received,Resale,Unfurnished,3.0,2.6,Datta Pada,"Jan 30, '21",West,other,860.0,3,apartment,1,11,1,Covered,,
received,Resale,Semi-Furnished,2.0,1.23,Kanchan Chsl,"Jan 30, '21",South -West,main road,1750.0,2,apartment,2,7,0,Open,,
received,Resale,Semi-Furnished,1.0,1.05,shree amit nagar bldg no 3,"Jan 03, '21",North,other,500.0,1,apartment,3,4,0,Open,,
received,Resale,Semi-Furnished,2.0,2.75,Evershine Nagar,"Jan 29, '21",East,other,680.0,3,apartment,14,21,2,Covered,,
received,Resale,Unfurnished,2.0,1.95,Datta Pada,"Jan 30, '21",South,other,700.0,2,apartment,10,16,2,Covered,,
received,New Property,Unfurnished,10.0,23.0,Yeshodham,"Jan 22, '21",None,other,985.0,10,apartment,45,50,8,Covered,,
received,Resale,Unfurnished,2.0,0.38,Bolinj,"Jan 30, '21",East,main road,980.0,2,apartment,1,4,1,Open,,
received,Resale,Unfurnished,2.0,2.26,Vishveshwar Nagar,"Jan 30, '21",East,other,450.0,2,apartment,19,35,1,Covered,,
received,Resale,Unfurnished,2.0,1.0,Jankalyan Nagar,"Jan 12, '21",North - East,main road,2800.0,1,apartment,9,23,0,Open,,
received,Resale,Semi-Furnished,2.0,2.15,Central Area,"Jan 26, '21",East,other,875.0,2,apartment,9,20,2,Covered,-3.6370906,40.4427341
received,Resale,Unfurnished,2.0,1.91,MTNL Colony,"Jan 28, '21",East,main road,715.0,2,apartment,10,19,1,Covered,,
received,New Property,Unfurnished,3.0,1.85,Jankalyan Nagar,"Jan 27, '21",East,main road,927.0,3,apartment,9,23,1,Covered,,
received,Resale,Semi-Furnished,3.0,5.0,Pirojshah Nagar,"Jan 27, '21",North - East,other,1112.0,3,apartment,8,16,1,Covered,,
